,data_light,data_batt,data_acce_x,data_acce_y,data_acce_z,data_temp,data_baro,data_magnx,data_magny,data_magnz,data_gyrox,data_gyroy,data_gyroz
0,0.4,76,0.181884766,-0.050537109,-1.006103516,18.74,1008.83,63.12429792,63.57411477,-501.5457875,4.722595215,-5.317687988,-5.798339844
1,0.4,76,0.154052734,0.002685547,-0.988525391,18.74,1008.79,63.57411477,62.22466422,-503.3450549,6.02722168,-6.141662598,-6.439208984
2,0.4,76,0.066162109,-0.026611328,-0.994873047,18.74,1008.82,62.07472527,63.12429792,-502.1455433,5.401611328,-4.31060791,-7.125854492
3,0.4,76,0.190185547,0.008300781,-1.002929688,18.74,1008.83,62.37460317,61.77484737,-501.5457875,4.348754883,-2.35748291,-5.798339844
4,0.4,76,0.124023438,0.029785156,-0.972412109,18.73,1008.84,64.02393162,62.22466422,-501.3958486,6.050109863,-6.217956543,-5.928039551
5,0.4,76,0.115966797,-0.013671875,-1.071777344,18.74,1008.86,63.12429792,61.32503053,-502.1455433,4.837036133,-6.546020508,-5.584716797
6,0.4,76,0.146484375,-0.033935547,-0.990722656,18.73,1008.86,63.12429792,62.82442002,-502.1455433,5.477905273,-3.753662109,-5.905151367
7,0.4,76,0.145019531,0.024902344,-0.977783203,18.75,1008.85,64.17387057,62.37460317,-502.1455433,5.905151367,-4.997253418,-6.401062012
8,0.4,76,0.140625,-0.111328125,-0.915527344,18.73,1008.84,62.37460317,62.82442002,-503.9448107,7.270812988,-20.19500732,-3.044128418
9,0.4,76,0.228027344,-0.010986328,-1.033935547,18.72,1008.84,66.12307692,59.82564103,-506.4937729,6.332397461,-1.388549805,-1.884460449
10,0.32,76,0.088867188,-0.068115234,-0.514892578,18.72,1008.85,58.62612943,64.77362637,-506.4937729,11.88659668,-44.6472168,-12.64190674
11,0.4,76,0.171630859,-0.074707031,-0.984863281,18.73,1008.85,68.37216117,49.92967033,-502.5953602,4.638671875,-3.326416016,-12.25280762
12,0.48,76,0.181884766,-0.064697266,-1.0234375,18.72,1008.84,54.27789988,70.32136752,-528.9846154,2.716064453,3.295898438,-6.973266602
13,0.4,76,0.287597656,-0.008300781,-1.005126953,18.72,1008.83,75.11941392,65.67326007,-503.9448107,17.89093018,-1.434326172,-47.54638672
14,0.24,76,0.209960938,0.149169922,-1.001464844,18.73,1008.83,85.46520147,70.32136752,-497.047619,9.368896484,-1.258850098,-11.1618042
15,0.32,76,1.217529297,0.486816406,-0.369873047,18.75,1008.77,70.77118437,59.07594628,-500.9460317,19.20318604,37.55187988,-15.57922363
16,0.73,76,0.277099609,-0.083007813,-0.692871094,18.75,1008.84,93.11208791,70.17142857,-491.6498168,6.790161133,-4.203796387,-5.546569824
17,0.56,76,0.234375,0.111816406,-1.093994141,18.76,1008.79,89.06373626,54.27789988,-492.2495726,10.52856445,-18.74542236,-15.2053833
18,0.48,76,0.238037109,-0.192138672,-0.984130859,18.77,1008.83,74.51965812,56.67692308,-506.9435897,12.4206543,7.133483887,-63.98773193
19,0.32,76,0.086181641,0.138427734,-1.123535156,18.77,1008.77,54.27789988,68.22222222,-558.3726496,7.888793945,-5.737304688,-8.277893066
20,0.48,76,0.411621094,-0.284179688,-0.335449219,18.77,1008.77,58.77606838,52.77851038,-504.9943834,56.26678467,-62.26348877,-58.46405029
